# Pathway	SRS014124_kneaddata_Abundance
UNMAPPED	23545.4378649700
UNINTEGRATED	7277.1195107558
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	11.7041477638
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	11.3732554102
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	11.3732554102
PWY-4041: &gamma;-glutamyl cycle	10.3413748147
PWY0-1296: purine ribonucleosides degradation	9.4569562702
PWY-7221: guanosine ribonucleotides de novo biosynthesis	8.9818825496
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	8.7305796897
PWY-5695: inosine 5'-phosphate degradation	7.8217990138
PWY-1042: glycolysis IV	7.7276483301
PWY-7851: coenzyme A biosynthesis II (eukaryotic)	7.6243762308
PWY-6123: inosine-5'-phosphate biosynthesis I	7.4381807615
PWY-6124: inosine-5'-phosphate biosynthesis II	7.4064588899
