# Pathway	SRS015537_kneaddata_Abundance
UNMAPPED	15917.8869441107
UNINTEGRATED	9007.3016947106
UNINTEGRATED|g__Streptococcus.s__Streptococcus_parasanguinis	3646.7003024587
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	2086.3795537695
PWY0-1296: purine ribonucleosides degradation	17.6595427409
PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_parasanguinis	9.8445240578
PWY-6609: adenine and adenosine salvage III	14.6175457725
PWY-6609: adenine and adenosine salvage III|g__Streptococcus.s__Streptococcus_parasanguinis	9.7918769413
PWY-6936: seleno-amino acid biosynthesis (plants)	14.5130918902
PWY-6936: seleno-amino acid biosynthesis (plants)|g__Streptococcus.s__Streptococcus_parasanguinis	7.6855509788
PWY-6151: S-adenosyl-L-methionine salvage I	12.9149604087
PWY-6151: S-adenosyl-L-methionine salvage I|g__Streptococcus.s__Streptococcus_salivarius	3.5708715135
PWY-4041: &gamma;-glutamyl cycle	12.8519119733
PWY-4041: &gamma;-glutamyl cycle|g__Streptococcus.s__Streptococcus_parasanguinis	7.0507304153
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	12.5719630527
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Streptococcus.s__Streptococcus_salivarius	8.5569930534
PWY-6123: inosine-5'-phosphate biosynthesis I	12.4385843821
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	11.2947745964
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	10.9690579877
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Streptococcus.s__Streptococcus_parasanguinis	10.9690579877
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	10.9417242037
PWY-7238: sucrose biosynthesis II	10.8961162466
LACTOSECAT-PWY: lactose and galactose degradation I	10.8836873145
LACTOSECAT-PWY: lactose and galactose degradation I|g__Streptococcus.s__Streptococcus_parasanguinis	8.5154293886
PWY-5941: glycogen degradation II	10.2049089656
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	9.8624477313
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Streptococcus.s__Streptococcus_parasanguinis	6.2637854393
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	9.7105359054
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	9.6447706276
HISDEG-PWY: L-histidine degradation I	9.2056937096
HISDEG-PWY: L-histidine degradation I|g__Streptococcus.s__Streptococcus_parasanguinis	9.2056937096
THRESYN-PWY: superpathway of L-threonine biosynthesis	8.9139659088
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	8.8248706756
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	8.8248706756
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	8.5188739442
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Streptococcus.s__Streptococcus_parasanguinis	2.3543954134
